<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.10.21	119.825	120.089	119.753	119.923	121719	176822192000	9
2015.10.22	119.913	120.768	119.610	120.685	143143	201268178000	9
2015.10.23	120.677	121.481	120.223	121.439	159190	221262981000	9
2015.10.26	121.468	121.485	120.595	120.986	130433	183699907000	9
2015.10.27	120.986	121.072	120.159	120.383	134374	177085699000	9
2015.10.28	120.383	121.257	120.019	121.101	132038	187230349000	9
2015.10.29	121.101	121.181	120.584	121.050	127545	164986819000	9
2015.10.30	121.051	121.483	120.275	120.603	144905	180137538000	9
2015.11.02	120.385	120.807	120.252	120.748	98848	132720503000	9
2015.11.03	120.748	121.227	120.594	121.059	103581	139739286000	9
2015.11.04	121.054	121.715	120.997	121.541	138603	177809425000	9
2015.11.05	121.549	122.000	121.383	121.738	138492	186655074000	9
2015.11.06	121.740	123.264	121.629	123.218	134946	193387056000	9
2015.11.09	123.256	123.601	122.973	123.178	127563	177128245000	6
2015.11.10	123.159	123.433	123.024	123.157	125695	177765528000	6
2015.11.11	123.128	123.219	122.734	122.853	100686	133062961000	9
2015.11.12	122.828	123.068	122.549	122.586	131215	180982689000	9
2015.11.13	122.580	122.986	122.435	122.606	128710	166469117000	9
2015.11.16	122.238	123.275	122.221	123.164	133196	180301325000	9
2015.11.17	123.164	123.484	123.164	123.436	127295	179511822000	7
2015.11.18	123.427	123.751	123.217	123.619	113707	156759960000	9
2015.11.19	123.624	123.629	122.618	122.863	132568	181608427000	9
2015.11.20	122.846	123.048	122.720	122.783	112395	155645696000	9
2015.11.23	122.821	123.255	122.778	122.819	103189	147851918000	9
2015.11.24	122.814	122.958	122.304	122.527	122742	172102938000	9
2015.11.25	122.545	122.931	122.254	122.709	125275	181036797000	9
2015.11.26	122.646	122.733	122.498	122.591	85954	107983697000	9
2015.11.27	122.577	122.876	122.302	122.709	90134	122673195000	9
2015.11.30	122.810	123.338	122.683	123.100	100324	145221815000	7
2015.12.01	123.100	123.271	122.637	122.871	112596	159081416000	6
2015.12.02	122.824	123.667	122.798	123.235	106833	160958175000	9
2015.12.03	123.236	123.557	122.294	122.598	151730	208154574000	9
2015.12.04	122.553	123.370	122.472	123.099	147685	206351363000	9
2015.12.07	123.208	123.473	123.148	123.366	106336	157058701000	9
2015.12.08	123.357	123.390	122.718	122.927	117293	163305635000	9
2015.12.09	122.915	123.042	121.071	121.438	149044	192831890000	9
2015.12.10	121.427	121.863	121.242	121.583	134628	140945597000	9
2015.12.11	121.563	122.226	120.576	120.959	151429	157685672000	9
2015.12.14	121.102	121.349	120.339	120.999	170252	173608695000	9
2015.12.15	121.018	121.789	120.572	121.677	143297	156680295000	9
2015.12.16	121.654	122.429	121.377	122.194	154732	163568988000	9
2015.12.17	122.185	122.872	122.184	122.547	137112	160114534000	9
2015.12.18	122.538	123.559	121.053	121.126	172485	153635799000	9
2015.12.21	121.212	121.500	120.835	121.166	124834	136228720000	9
2015.12.22	121.167	121.305	120.720	121.061	108886	115377996000	9
2015.12.23	121.047	121.132	120.809	120.905	79784	83610792000	9
2015.12.24	120.912	120.990	120.247	120.320	64756	57729382000	5
2015.12.28	120.103	120.626	120.103	120.379	74163	68240536000	9
2015.12.29	120.385	120.504	120.232	120.446	76822	77533476000	9
2015.12.30	120.430	120.650	120.348	120.508	69347	74118835000	9
2015.12.31	120.503	120.575	119.999	120.207	58123	60370378000	9
2016.01.04	120.196	120.462	118.699	119.447	161507	154977410000	9
2016.01.05	119.429	119.698	118.790	119.043	151923	161545688000	9
2016.01.06	119.039	119.166	118.247	118.457	175512	166734534000	9
2016.01.07	118.454	118.753	117.325	117.654	198110	173826939000	9
2016.01.08	117.645	118.838	117.223	117.229	195657	181079417000	9
2016.01.11	117.097	118.022	116.691	117.748	176032	174127998000	9
2016.01.12	117.735	118.068	117.223	117.638	188770	186548408000	9
2016.01.13	117.614	118.376	117.614	117.660	170502	166907666000	9
2016.01.14	117.658	118.275	117.288	118.041	192688	189771194000	9
2016.01.15	118.044	118.267	116.505	116.997	198409	199955140000	4
2016.01.18	116.650	117.435	116.650	117.323	148400	142635494000	9
2016.01.19	117.299	118.109	117.229	117.613	181873	187721131000	9
2016.01.20	117.609	117.681	115.970	116.920	220440	216777688000	9
2016.01.21	116.918	117.804	116.467	117.693	239592	244960889000	9
2016.01.22	117.678	118.876	117.534	118.769	181499	200928838000	4
2016.01.25	118.637	118.852	118.167	118.285	172769	203612983000	9
2016.01.26	118.293	118.618	117.651	118.406	167646	208251145000	9
2016.01.27	118.403	119.067	118.039	118.666	190884	227608499000	9
2016.01.28	118.643	118.987	118.411	118.798	183089	216587611000	9
2016.01.29	118.799	121.686	118.395	121.119	223570	190822631000	9
2016.02.01	121.314	121.482	120.675	120.961	160161	154085989000	9
2016.02.02	120.952	121.032	119.833	119.949	171709	169802388000	9
2016.02.03	119.931	120.040	117.049	117.880	229730	214443769000	9
2016.02.04	117.875	118.234	116.524	116.760	233454	211993062000	9
2016.02.05	116.767	117.428	116.290	116.819	197340	202106820000	9
2016.02.08	116.783	117.520	115.170	115.835	209637	244898329000	9
2016.02.09	115.832	115.843	114.204	115.126	256045	241801779000	9
2016.02.10	115.107	115.255	113.115	113.317	264772	255198250000	9
2016.02.11	113.315	113.593	110.979	112.405	269972	197266324000	9
2016.02.12	112.402	113.536	111.657	113.209	240662	155512788000	9
2016.02.15	113.357	114.727	113.267	114.558	170963	145698368000	9
2016.02.16	114.568	114.871	113.591	114.032	195037	178972028000	9
2016.02.17	114.065	114.500	113.370	114.066	189468	172800114000	9
2016.02.18	114.062	114.317	113.139	113.216	178616	171710177000	9
2016.02.19	113.246	113.375	112.301	112.531	177750	167832992000	9
2016.02.22	112.572	113.383	112.422	112.905	143233	154122250000	9
2016.02.23	112.803	113.050	111.768	112.093	175359	169748799000	9
2016.02.24	112.075	112.262	111.039	112.169	185691	226217000000	9
2016.02.25	112.152	113.020	111.893	112.981	190488	219714453000	9
2016.02.26	112.962	113.988	112.558	113.984	172956	209632906000	9
2016.02.29	113.947	113.979	112.649	112.669	182674	194002061000	9
2016.03.01	112.666	114.180	112.153	113.974	168730	182929696000	9
2016.03.02	113.977	114.550	113.212	113.476	175751	217008565000	9
2016.03.03	113.470	114.264	113.293	113.667	162182	179965800000	9
2016.03.04	113.665	114.254	113.116	113.769	166988	178487154000	9
2016.03.07	113.922	113.925	113.221	113.430	141104	160944785000	9
2016.03.08	113.408	113.517	112.419	112.611	156711	165756230000	9
2016.03.09	112.612	113.449	112.223	113.315	144713	164515272000	9
2016.03.10	113.314	114.443	112.603	113.211	174292	183719919000	9
2016.03.11	113.168	113.913	112.749	113.795	136661	138082816000	9
2016.03.14	113.912	114.002	113.503	113.789	114199	132946427000	9
2016.03.15	113.794	114.143	112.627	113.188	143875	183806668000	9
2016.03.16	113.190	113.814	112.328	112.663	139275	171346311000	9
2016.03.17	112.662	112.952	110.664	111.418	171384	180466703000	9
2016.03.18	111.419	111.753	110.817	111.520	114967	103800009000	9
2016.03.21	111.524	111.973	111.215	111.959	109529	132144966000	4
2016.03.22	111.954	112.485	111.377	112.379	143380	152426558000	9
2016.03.23	112.379	112.901	112.137	112.387	108766	90591826000	9
2016.03.24	112.382	113.002	112.290	112.821	106296	124733234000	9
2016.03.25	112.819	113.319	112.747	113.048	51914	43243368000	9
2016.03.28	113.156	113.684	113.113	113.435	71513	104039616000	9
